epoch,lr,train_loss,val_mean_m,val_median_m,val_recall_1km
1,4e-05,4.276789,7708.8,5859.48,6.433
2,8e-05,2.139526,7197.89,5422.02,6.84
3,0.00012,1.396649,6886.15,4999.04,8.621
4,0.00016,0.809805,7003.13,5119.56,8.345
5,0.0002,0.47567,5981.51,4533.59,9.688
6,0.0001995994,0.49178,5621.84,4317.29,10.324
7,0.000198401,0.489411,5276.4,3865.86,11.346
8,0.0001964143,0.492291,5058.13,3804.39,11.422
9,0.0001936554,0.423599,4176.34,3060.71,13.08
10,0.0001901464,0.378238,4073.16,2915.91,13.299
11,0.0001859157,0.335428,4283.21,3247.78,13.536
12,0.0001809972,0.267687,4145.23,3099.7,14.038
13,0.0001754306,0.237444,4029.79,3042.83,14.813
14,0.0001692607,0.203063,3883.64,2843.31,14.397
15,0.0001625372,0.213441,4023.74,3004.88,15.98
16,0.0001553142,0.190293,3690.06,2747.0,16.158
17,0.0001476499,0.215249,3740.94,2626.72,15.856
18,0.000139606,0.211707,3517.13,2672.1,15.807
19,0.0001312472,0.185538,3510.83,2529.73,17.494
20,0.0001226408,0.186613,3371.01,2516.47,17.195
21,0.0001138562,0.191913,3194.89,2241.5,17.536
22,0.0001049641,0.16911,3284.8,2336.45,18.196
23,9.60359e-05,0.182809,3228.39,2360.7,18.494
24,8.71438e-05,0.168896,3115.94,2260.07,17.919
25,7.83592e-05,0.155605,2958.76,2259.31,18.66
26,6.97528e-05,0.161105,3070.0,2316.35,20.165
27,6.1394e-05,0.151769,3016.4,2131.83,19.761
28,5.33501e-05,0.164711,2908.53,2098.26,20.508
29,4.56858e-05,0.147482,2903.2,2186.39,20.309
30,3.84628e-05,0.15124,2966.03,2197.49,20.845
31,3.17393e-05,0.136542,2959.28,2080.12,22.291
32,2.55694e-05,0.148993,2955.78,2090.44,20.831
33,2.00028e-05,0.133069,2873.78,2128.53,21.018
34,1.50843e-05,0.140107,2902.69,2226.65,21.585
35,1.08536e-05,0.134108,2952.55,2167.37,24.646
36,7.3446e-06,0.131574,2844.75,2085.61,23.099
37,4.5857e-06,0.119104,2870.07,2097.23,23.116
38,2.599e-06,0.129931,2896.16,2055.74,22.788
39,1.4006e-06,0.107137,2856.13,2055.52,24.005
40,1e-06,0.128487,2854.2,2105.8,24.1
